,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Number of ,Adult (15–49),Number of,TB: new smear,Newborns with,Children under-5 ,,Children under-5 ,,Adults (³15) who are,,,,,Mean systolic blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,Switzerland,EUR,, 13 000,0.4,0,3,6,...,...,...,...,7.9,7.5,,2002,h,126,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,Syrian Arab Republic,EMR,,<500,<0.1,0,19,6,19,2000,7,2000,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,Tajikistan,EUR,,<200,<0.1,0,76,15,36,2003,...,...,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,Thailand,SEAR,, 570 000,1.5,0,63,9,13,1995,18,1995,...,...,,…,,119,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,The former Yugoslav Republic of Macedonia,EUR,,<200,<0.1,0,14,5,7,1999,6,1999,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,Timor-Leste,SEAR,,…,...,0,250,10,49,2003,46,2003,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,Togo,AFR,, 110 000,4.1,0,153,15,22,1998,25,1998,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,Tonga,WPR,,…,...,0,13,0,…,…,...,…,...,...,,…,,133,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,Trinidad and Tobago,AMR,, 29 000,3.2,0,4,23,4,2000,6,2000,...,...,,...,,128,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,Tunisia,EMR,, 1 000,<0.1,0,10,7,12,2000,4,2000,6.4,22.7,,1996–97,i,124,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,Turkey,EUR,,…,…,0,12,16,16,1998,8,1998,12.9,29.9,,1997,i,118,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,Turkmenistan,EUR,,<200,<0.1,0,30,6,22,2000,12,2000,...,10.3,,2000,j,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,Tuvalu,WPR,,…,...,0,13,5,...,...,...,...,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,Uganda,AFR,, 530 000,4.1,0,179,12,39,2000–01,23,2000–01,...,...,,…,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,Ukraine,EUR,, 360 000,1.4,0,41,5,16,2000,3,2000,...,...,,...,,127,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,United Arab Emirates,EMR,,…,…,0,8,15,...,...,...,...,25.6,39.9,,1999–00,i,124,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,United Kingdom,EUR,, 51 000,0.2,0,5,8,…,…,…,…,...,...,,...,,132,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,United Republic of Tanzania,AFR,,1 600 000,8.8,0,157,13,44,1999,29,1999,...,...,,...,,123,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,United States of America,AMR,, 950 000,0.6,0,2,8,…,…,…,…,25.8,31.8,,1999–02,i,123,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,Uruguay,AMR,, 6 000,0.3,0,12,8,…,…,…,…,17.0,19.0,,1998,"h,i",...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,Uzbekistan,EUR,, 11 000,0.1,0,52,7,21,2002,8,2002,5.4,6.9,,2002,,121,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,Vanuatu,WPR,,…,...,0,27,6,20,1996,12,1996,12.2,19.6,,1998,i,131,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,Venezuela,AMR,, 110 000,0.7,0,19,7,13,2000,4,2000,...,...,,...,,120,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,Viet Nam,WPR,, 220 000,0.4,0,80,9,37,2000,34,2000,...,...,,...,,120,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,Yemen,EMR,, 12 000,0.1,0,42,32,52,1997,46,1997,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,Zambia,AFR,, 920 000,16.5,0,269,12,47,2001–02,28,2001–02,...,3.0,,2001–02,j,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,Zimbabwe,AFR,,1 800 000,24.6,0,265,11,27,1999,13,1999,...,7.5,,1999,j,124,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Region,,,(update 2004),(update 2004),,,,,95% CI,,95% CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,African Region,AFR,,25 300 000,7.1,944,74,14,37,(33–42),26,(23–30),…,…,,,,126,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Region of the Americas,AMR,,3 200 000,0.7,0,19,9,10,(6–15),5,(3–6),…,…,,,,123,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,South-East Asia Region,SEAR,,6 400 000,0.7,136,85,26,36,(32–40),37,(30–45),…,…,,,,123,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,European Region,EUR,,2 000 000,0.4,0,22,8,…,…,…,…,…,…,,,,129,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Eastern Mediterranean Region,EMR,, 710 000,0.3,187,55,17,20,(15–26),18,(11–27),…,…,,,,124,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Western Pacific Region,WPR,,1 700 000,0.2,3,50,8,11,(8–15),8,(5–11),…,…,,,,122,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Figures computed by WHO to improve comparability where appropriate; they are not necessarily the official statistics of Member States, which may use alternative rigorous methods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,… Data not available or not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"aUNAIDS 2004 report on the global HIV/AIDS epidemic: 4th global report. Joint United Nations Programme on HIV/AIDS, Geneva, 2004. (http://www.unaids.org/bangkok2004/report.html)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"bWorld Health Organization, Department of Immunization Vaccines and Biologicals, Vaccine Assessment and Monitoring Team. (http://www.who.int/vaccines/casecount/case_count.cfm, accessed on 26 April 2005)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"cWHO report 2005. Global Tuberculosis Control; Surveillance, Planning, Financing. World Health Organization, Geneva, 2005.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"dLow Birthweight: Country, 
regional and global estimates. United Nations Children’s Fund and World Health Organization, New York, 2004. (http://www.who.int/reproductive-health/publications/low_birthweight/low_birthweight_estimates.pdf)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"eThe WHO Global Database on Child Growth and Malnutrition. (http://www.who.int/nutgrowthdb)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"fWHO Global Database on Body Mass Index (BMI). (http//www.who.int/bmi, accessed on 27 April 2005) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gGlobal NCD InfoBase/Online Tool. World Health Organization. (http://www.who.int/ncd_surveillance/infobase/en),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hSelf reported data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,iLower age limit above 15.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jUpper age limit at 50.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
